sample_id	mRNA_srrs	sgRNA_srrs
45	SRR28707274;SRR28707276;SRR28707278;SRR28707280;SRR28707282;SRR28707285;SRR28707287;SRR28707289;SRR28707291;SRR28707886;SRR28707888;SRR28707891;SRR28707893;SRR28707895;SRR28707897;SRR28707899	SRR28707273;SRR28707275;SRR28707277;SRR28707279;SRR28707281;SRR28707284;SRR28707286;SRR28707288;SRR28707290;SRR28707885;SRR28707887;SRR28707890;SRR28707892;SRR28707894;SRR28707896;SRR28707898
46	SRR28707249;SRR28707251;SRR28707254;SRR28707256;SRR28707258;SRR28707260;SRR28707262;SRR28707265;SRR28707267;SRR28707269;SRR28707271;SRR28707557;SRR28707877;SRR28707880;SRR28707882;SRR28707884	SRR28707248;SRR28707250;SRR28707253;SRR28707255;SRR28707257;SRR28707259;SRR28707261;SRR28707264;SRR28707266;SRR28707268;SRR28707270;SRR28707556;SRR28707876;SRR28707879;SRR28707881;SRR28707883
47	SRR28707535;SRR28707537;SRR28707539;SRR28707542;SRR28707544;SRR28707546;SRR28707548;SRR28707550;SRR28707553;SRR28707555;SRR28708033;SRR28708035;SRR28708037;SRR28708039;SRR28708043;SRR28708045	SRR28707534;SRR28707536;SRR28707538;SRR28707541;SRR28707543;SRR28707545;SRR28707547;SRR28707549;SRR28707552;SRR28707554;SRR28708032;SRR28708034;SRR28708036;SRR28708038;SRR28708042;SRR28708044
48	SRR28707852;SRR28707854;SRR28707856;SRR28707858;SRR28707860;SRR28707863;SRR28707865;SRR28707867;SRR28707869;SRR28707871;SRR28707874;SRR28708022;SRR28708024;SRR28708026;SRR28708028;SRR28708031	SRR28707247;SRR28707853;SRR28707855;SRR28707857;SRR28707859;SRR28707862;SRR28707864;SRR28707866;SRR28707868;SRR28707870;SRR28707873;SRR28707875;SRR28708023;SRR28708025;SRR28708027;SRR28708030
49	SRR28707226;SRR28707228;SRR28707230;SRR28707232;SRR28707234;SRR28707237;SRR28707239;SRR28707241;SRR28707243;SRR28707245;SRR28707522;SRR28707525;SRR28707527;SRR28707529;SRR28707531;SRR28707533	SRR28707225;SRR28707227;SRR28707229;SRR28707231;SRR28707233;SRR28707236;SRR28707238;SRR28707240;SRR28707242;SRR28707244;SRR28707521;SRR28707524;SRR28707526;SRR28707528;SRR28707530;SRR28707532
50	SRR28707511;SRR28707514;SRR28707516;SRR28707518;SRR28707520;SRR28707998;SRR28708000;SRR28708004;SRR28708006;SRR28708008;SRR28708010;SRR28708012;SRR28708015;SRR28708017;SRR28708019;SRR28708021	SRR28707510;SRR28707513;SRR28707515;SRR28707517;SRR28707519;SRR28707851;SRR28707999;SRR28708003;SRR28708005;SRR28708007;SRR28708009;SRR28708011;SRR28708014;SRR28708016;SRR28708018;SRR28708020
51	SRR28707213;SRR28707215;SRR28707217;SRR28707220;SRR28707222;SRR28707828;SRR28707830;SRR28707832;SRR28707835;SRR28707837;SRR28707839;SRR28707841;SRR28707843;SRR28707846;SRR28707848;SRR28707850	SRR28707212;SRR28707214;SRR28707216;SRR28707219;SRR28707221;SRR28707223;SRR28707829;SRR28707831;SRR28707834;SRR28707836;SRR28707838;SRR28707840;SRR28707842;SRR28707845;SRR28707847;SRR28707849
52	SRR28707200;SRR28707202;SRR28707204;SRR28707206;SRR28707209;SRR28707211;SRR28707488;SRR28707490;SRR28707492;SRR28707494;SRR28707497;SRR28707499;SRR28707501;SRR28707503;SRR28707505;SRR28707508	SRR28707201;SRR28707203;SRR28707205;SRR28707208;SRR28707210;SRR28707487;SRR28707489;SRR28707491;SRR28707493;SRR28707496;SRR28707498;SRR28707500;SRR28707502;SRR28707504;SRR28707507;SRR28707509
53	SRR28707486;SRR28707819;SRR28707821;SRR28707823;SRR28707825;SRR28707827;SRR28707976;SRR28707978;SRR28707980;SRR28707982;SRR28707984;SRR28707987;SRR28707989;SRR28707991;SRR28707993;SRR28707995	SRR28707818;SRR28707820;SRR28707822;SRR28707824;SRR28707826;SRR28707975;SRR28707977;SRR28707979;SRR28707981;SRR28707983;SRR28707986;SRR28707988;SRR28707990;SRR28707992;SRR28707994;SRR28707997
54	SRR28707185;SRR28707187;SRR28707189;SRR28707192;SRR28707194;SRR28707196;SRR28707198;SRR28707688;SRR28707691;SRR28707693;SRR28707804;SRR28707807;SRR28707809;SRR28707811;SRR28707813;SRR28707815	SRR28707186;SRR28707188;SRR28707191;SRR28707193;SRR28707195;SRR28707197;SRR28707199;SRR28707687;SRR28707690;SRR28707692;SRR28707694;SRR28707806;SRR28707808;SRR28707810;SRR28707812;SRR28707814
55	SRR28707462;SRR28707464;SRR28707466;SRR28707469;SRR28707471;SRR28707473;SRR28707475;SRR28707477;SRR28707480;SRR28707482;SRR28707484;SRR28707686;SRR28707965;SRR28707967;SRR28707970;SRR28707972	SRR28707463;SRR28707465;SRR28707468;SRR28707470;SRR28707472;SRR28707474;SRR28707476;SRR28707479;SRR28707481;SRR28707483;SRR28707485;SRR28707964;SRR28707966;SRR28707969;SRR28707971;SRR28707973
56	SRR28707784;SRR28707786;SRR28707788;SRR28707791;SRR28707793;SRR28707795;SRR28707797;SRR28707799;SRR28707802;SRR28707950;SRR28707952;SRR28707954;SRR28707956;SRR28707959;SRR28707961;SRR28707963	SRR28707783;SRR28707785;SRR28707787;SRR28707790;SRR28707792;SRR28707794;SRR28707796;SRR28707798;SRR28707801;SRR28707803;SRR28707951;SRR28707953;SRR28707955;SRR28707958;SRR28707960;SRR28707962
