sample_id	mRNA_srrs	sgRNA_srrs
KD8_seq1_p2_72	SRR19411722;SRR19412086;SRR19412087;SRR19412089	SRR19411713;SRR19411715;SRR19411716;SRR19411717
KD8_seq1_p2_73	SRR19411705;SRR19411706;SRR19411707;SRR19411708	SRR19411699;SRR19412380;SRR19412381;SRR19412382
KD8_seq1_p2_74	SRR19412371;SRR19412372;SRR19412373;SRR19412374	SRR19412362;SRR19412363;SRR19412364;SRR19412366
KD8_seq1_p2_75	SRR19412478;SRR19412481;SRR19412482;SRR19412483	SRR19412470;SRR19412471;SRR19412472;SRR19412473
KD8_seq1_p2_76	SRR19412461;SRR19412462;SRR19412463;SRR19412464	SRR19412077;SRR19412078;SRR19412079;SRR19412080
KD8_seq1_p2_77	SRR19412068;SRR19412069;SRR19412070;SRR19412072	SRR19411696;SRR19411698;SRR19412062;SRR19412063
KD8_seq1_p2_78	SRR19411688;SRR19411689;SRR19411690;SRR19411691	SRR19412424;SRR19412425;SRR19412426;SRR19412427
KD8_seq1_p2_79	SRR19412354;SRR19412355;SRR19412356;SRR19412357	SRR19412345;SRR19412346;SRR19412347;SRR19412349
KD8_seq1_p2_80	SRR19412336;SRR19412338;SRR19412339;SRR19412340	SRR19412454;SRR19412455;SRR19412456;SRR19412457
KD8_seq1_p2_81	SRR19412445;SRR19412446;SRR19412447;SRR19412448	SRR19412333;SRR19412334;SRR19412437;SRR19412438
KD8_seq1_p2_82	SRR19412324;SRR19412325;SRR19412326;SRR19412328	SRR19412315;SRR19412317;SRR19412318;SRR19412319
KD8_seq1_p2_83	SRR19412058;SRR19412059;SRR19412060;SRR19412061	SRR19412049;SRR19412050;SRR19412051;SRR19412052
KD8_seq1_p2_84	SRR19412040;SRR19412041;SRR19412042;SRR19412043	SRR19412304;SRR19412305;SRR19412306;SRR19412308
KD8_seq1_p2_85	SRR19412295;SRR19412297;SRR19412298;SRR19412299	SRR19412287;SRR19412288;SRR19412289;SRR19412290
KD8_seq1_p2_86	SRR19412668;SRR19412669;SRR19412670;SRR19412671	SRR19412659;SRR19412660;SRR19412661;SRR19412662
KD8_seq1_p2_87	SRR19412035;SRR19412036;SRR19412037;SRR19412654	SRR19412025;SRR19412028;SRR19412029;SRR19412030
KD8_seq1_p2_88	SRR19412017;SRR19412018;SRR19412019;SRR19412020	SRR19411933;SRR19411934;SRR19411935;SRR19411936
KD8_seq1_p2_89	SRR19411924;SRR19411925;SRR19411926;SRR19411927	SRR19411915;SRR19411916;SRR19411917;SRR19411919
KD8_seq1_p2_90	SRR19412278;SRR19412280;SRR19412281;SRR19412282	SRR19412270;SRR19412271;SRR19412272;SRR19412273
KD8_seq1_p2_91	SRR19412263;SRR19412264;SRR19412651;SRR19412652	SRR19412642;SRR19412643;SRR19412644;SRR19412645
KD8_seq1_p2_92	SRR19412633;SRR19412634;SRR19412635;SRR19412637	SRR19412009;SRR19412011;SRR19412012;SRR19412013
KD8_seq1_p2_93	SRR19412001;SRR19412002;SRR19412003;SRR19412004	SRR19411992;SRR19411993;SRR19411994;SRR19411995
KD8_seq1_p2_94	SRR19411907;SRR19411908;SRR19411909;SRR19411910	SRR19411898;SRR19411899;SRR19411900;SRR19411902
KD8_seq1_p2_95	SRR19411891;SRR19411892;SRR19411893;SRR19412261	SRR19412253;SRR19412254;SRR19412255;SRR19412256
KD8_seq1_p3_0	SRR19412244;SRR19412245;SRR19412246;SRR19412247	SRR19412625;SRR19412626;SRR19412627;SRR19412628
KD8_seq1_p3_1	SRR19412616;SRR19412617;SRR19412618;SRR19412620	SRR19412607;SRR19412609;SRR19412610;SRR19412611
KD8_seq1_p3_2	SRR19411984;SRR19411985;SRR19411986;SRR19411987	SRR19411975;SRR19411976;SRR19411977;SRR19411978
KD8_seq1_p3_3	SRR19411966;SRR19411967;SRR19411968;SRR19411969	SRR19411882;SRR19411883;SRR19411884;SRR19411886
